City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
217,east london,-33.0153,27.9116,17.16,78,9,7.49,ZA,1690441797
218,college,64.8569,-147.8028,23.99,67,75,0.0,US,1690442071
219,bull savanna,17.8868,-77.5902,25.34,83,69,2.39,JM,1690442071
220,sanctuary point,-35.1114,150.629,17.96,52,0,3.82,AU,1690442071
221,manokwari,-0.8667,134.0833,27.8,78,43,1.9,ID,1690442072
222,severnoye,56.3491,78.3619,26.02,46,72,2.84,RU,1690442072
223,ribeira brava,32.65,-17.0667,21.51,73,2,1.17,PT,1690442072
224,nadym,65.5333,72.5167,26.23,44,100,3.48,RU,1690442072
225,breves,-1.6822,-50.4803,24.06,84,87,1.32,BR,1690442073
226,nuuk,64.1835,-51.7216,7.34,87,100,7.2,GL,1690441859
227,gadzhiyevo,69.2551,33.3362,12.15,89,100,0.77,RU,1690442074
228,tabas,33.5959,56.9244,41.12,11,0,2.06,IR,1690442074
229,olyokminsk,60.3736,120.4264,27.46,48,99,2.85,RU,1690442075
230,dinguiraye,11.3,-10.7167,21.5,95,13,0.77,GN,1690442075
231,aykhal,66.0,111.5,14.3,73,100,4.29,RU,1690442075
232,tamandare,-8.7597,-35.1047,23.4,86,85,1.9,BR,1690442075
233,wailua homesteads,22.0669,-159.378,27.24,84,20,7.72,US,1690442076
234,sydney mines,46.2367,-60.2177,22.11,91,20,3.6,CA,1690442076
235,kenora,49.8167,-94.4337,19.54,94,75,2.68,CA,1690442076
236,inhambane,-23.865,35.3833,22.39,53,5,3.03,MZ,1690442076
237,leninskoye,41.7589,69.3864,40.84,9,3,3.66,KZ,1690442077
238,rebrikha,53.0733,82.3408,28.3,31,100,1.92,RU,1690442077
239,kristiansund,63.1115,7.732,16.03,94,100,3.6,NO,1690442077
240,fale old settlement,-9.3852,-171.2468,28.65,74,57,7.22,TK,1690442078
241,korla,41.7597,86.1469,37.76,15,0,3.75,CN,1690442078
242,kourou,5.1552,-52.6478,24.03,91,56,2.86,GF,1690442078
243,hami,42.8,93.45,40.77,7,0,4.17,CN,1690442008
244,urangan,-25.3,152.9,19.34,66,92,5.7,AU,1690442079
245,al kharj,24.155,47.3346,42.32,9,35,1.51,SA,1690442079
246,desert hot springs,33.9611,-116.5017,36.68,24,0,4.63,US,1690442079
247,huangmei,30.1924,116.025,33.51,60,9,5.28,CN,1690442080
248,merizo village,13.2658,144.6691,29.31,92,100,5.42,GU,1690442080
249,keflavik,64.0049,-22.5624,10.95,81,0,4.63,IS,1690442080
250,port loko,8.7667,-12.7833,25.82,98,90,1.08,SL,1690442080
251,tutoia,-2.7619,-42.2744,24.9,81,3,5.31,BR,1690442081
252,garachico,28.7781,-17.7646,21.06,64,75,4.63,ES,1690442081
253,enewetak,11.3474,162.3373,28.56,78,100,6.37,MH,1690442081
